Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
ANTELOPE.CLUB by Wearable Life Science GmbH's Product Crowdfunding,https://www.crunchbase.com/funding-round/8c6a6a166f5fe2563742cedad60cd1e3,ANTELOPE.CLUB by Wearable Life Science GmbH,https://www.crunchbase.com/organization/antelope-series-by-wearable-life-science-gmbh,Product Crowdfunding,"$1,300,000 ",10/13/2015,,
ClassPass' Seed Round,https://www.crunchbase.com/funding-round/09077871dcba5b31b84095bd471d69ef,ClassPass,https://www.crunchbase.com/organization/classpass,Seed,"$2,000,000 ",3/31/2014,17,
ClassPass' Series A,https://www.crunchbase.com/funding-round/359a2dc8e136ef6c5a81ce25dd9b0637,ClassPass,https://www.crunchbase.com/organization/classpass,Series A,"$12,000,000 ",9/17/2014,8,
ClassPass' Series B,https://www.crunchbase.com/funding-round/a4009ac4e00824fb50d5c8b13a077141,ClassPass,https://www.crunchbase.com/organization/classpass,Series B,"$40,000,000 ",1/15/2015,4,
eGym's Series C,https://www.crunchbase.com/funding-round/5a8f01ccdd0bf9e80fb42993396acd41,eGym,https://www.crunchbase.com/organization/egym,Series C,"$45,000,000 ",3/21/2016,4,
ClassPass' Seed Round,https://www.crunchbase.com/funding-round/e390840ded9e6980fd0a6c1656066033,ClassPass,https://www.crunchbase.com/organization/classpass,Seed,,3/1/2012,3,
eGym's Series B,https://www.crunchbase.com/funding-round/f386e6c62a677a441facd98bd03e96f8,eGym,https://www.crunchbase.com/organization/egym,Series B,"$15,000,000 ",7/21/2014,3,
Athletigen's Seed Round,https://www.crunchbase.com/funding-round/fc45e68da5f04f81cd38307a2b2422a1,Athletigen,https://www.crunchbase.com/organization/athletigen,Seed,"$1,550,000 ",12/15/2015,2,
ClassPass' Series C,https://www.crunchbase.com/funding-round/6941dfaad4bbcdcbcd87cdfb55d6086b,ClassPass,https://www.crunchbase.com/organization/classpass,Series C,"$30,000,000 ",11/10/2015,2,
FITSO's Angel Round,https://www.crunchbase.com/funding-round/768ad584f1e93c7409726b8a4fadd79e,FITSO,https://www.crunchbase.com/organization/jogo,Angel,"$200,000 ",1/15/2016,3,
8fit - Fitness for the rest of us' Venture Round,https://www.crunchbase.com/funding-round/e6c86dc887e2a68349f55c360cffd37d,8fit - Fitness for the rest of us,https://www.crunchbase.com/organization/8fit-fitness-for-the-rest-of-us,Series Unknown,"$2,500,000 ",8/31/2015,2,
8fit - Fitness for the rest of us' Seed Round,https://www.crunchbase.com/funding-round/90a340487739ee61d732e6cde9f91a24,8fit - Fitness for the rest of us,https://www.crunchbase.com/organization/8fit-fitness-for-the-rest-of-us,Seed,"$200,000 ",6/30/2014,1,
Spitfire Athlete's Convertible Note,https://www.crunchbase.com/funding-round/39252b7dcee40f264f38abac304f6c11,Spitfire Athlete,https://www.crunchbase.com/organization/spitfire-athlete,Convertible Note,"$110,000 ",8/1/2014,2,
Motosumo's Seed Round,https://www.crunchbase.com/funding-round/4453d6be012b9f4ec6acf0bf38676355,Motosumo,https://www.crunchbase.com/organization/motosumo,Seed,"$500,000 ",2/22/2016,1,
Cult's Seed Round,https://www.crunchbase.com/funding-round/6ed1dc6f5adcd21ebf96d925356a342a,Cult,https://www.crunchbase.com/organization/cult,Seed,,4/5/2016,1,
Cult's Venture Round,https://www.crunchbase.com/funding-round/cce94b6c170949109474eda4601985bd,Cult,https://www.crunchbase.com/organization/cult,Series Unknown,"₹200,000,000",8/24/2016,1,
Run3D's Seed Round,https://www.crunchbase.com/funding-round/b5872fcc71b81ffa31940241909e840a,Run3D,https://www.crunchbase.com/organization/run3d,Seed,"£100,000",12/18/2012,1,
Run3D's Seed Round,https://www.crunchbase.com/funding-round/3662f202b1a3a5fbb306966780527abf,Run3D,https://www.crunchbase.com/organization/run3d,Seed,"£25,000",12/18/2013,1,
Volt Athletics' Seed Round,https://www.crunchbase.com/funding-round/8ac1c351cf1b51cb1bd6f88f3a3940e7,Volt Athletics,https://www.crunchbase.com/organization/volt-athletics,Seed,"$871,000 ",9/5/2014,,
Fit A.I's Grant,https://www.crunchbase.com/funding-round/0f9c7eecbc1ec6199e7200ab85229a16,Fit A.I,https://www.crunchbase.com/organization/fit-a-i,Grant,"$5,000 ",5/20/2016,1,
Vista Fitness' Equity Crowdfunding,https://www.crunchbase.com/funding-round/3ecdc51816d000341858a1fd8ecc7c25,Vista Fitness,https://www.crunchbase.com/organization/vista-fitness,Equity Crowdfunding,,8/3/2014,,
Volt Athletics' Angel Round,https://www.crunchbase.com/funding-round/cac6ced6943c6bc1e74447a1f4ffab53,Volt Athletics,https://www.crunchbase.com/organization/volt-athletics,Angel,"$1,000,000 ",11/20/2015,,
Fitmi Body's Equity Crowdfunding,https://www.crunchbase.com/funding-round/8c8248e7abb938685f543a8ac2109150,Fitmi Body,https://www.crunchbase.com/organization/fitmi-body,Equity Crowdfunding,"£75,230",9/4/2015,1,
Beast Technologies' Seed Round,https://www.crunchbase.com/funding-round/18a8fe8876d5ab4f67fbe9d67e5f83f4,Beast Technologies,https://www.crunchbase.com/organization/beast-technologies,Seed,"€850,000",1/1/2014,,
PUSH's Seed Round,https://www.crunchbase.com/funding-round/1120c67beeb7cc80e142b326e60de295,PUSH,https://www.crunchbase.com/organization/push-2,Seed,"$1,500,000 ",2/1/2014,,
ANTELOPE.CLUB by Wearable Life Science GmbH's Angel Round,https://www.crunchbase.com/funding-round/d07530ec35d989b7459040495dd1e1be,ANTELOPE.CLUB by Wearable Life Science GmbH,https://www.crunchbase.com/organization/antelope-series-by-wearable-life-science-gmbh,Angel,"€250,000",9/1/2014,,
ANTELOPE.CLUB by Wearable Life Science GmbH's Angel Round,https://www.crunchbase.com/funding-round/779d092192de3c7ab8d7d58be618b727,ANTELOPE.CLUB by Wearable Life Science GmbH,https://www.crunchbase.com/organization/antelope-series-by-wearable-life-science-gmbh,Angel,"€450,000",3/1/2015,,
8fit - Fitness for the rest of us' Seed Round,https://www.crunchbase.com/funding-round/15e1e712cf96415de3eb361d36235f25,8fit - Fitness for the rest of us,https://www.crunchbase.com/organization/8fit-fitness-for-the-rest-of-us,Seed,"$30,000 ",2/26/2014,,
Kinetic's Seed Round,https://www.crunchbase.com/funding-round/6481841fdc1a32eeda488290324263d9,Kinetic,https://www.crunchbase.com/organization/kinetic-2,Seed,,11/1/2014,3,
LIFT Session's Seed Round,https://www.crunchbase.com/funding-round/c77236c6d24ff1ecc14737fb57c8b8db,LIFT Session,https://www.crunchbase.com/organization/lift-session,Seed,"$1,000,000 ",1/22/2015,1,
Kinetic's Seed Round,https://www.crunchbase.com/funding-round/5aee98af023c4d2bb3202102fea8ecc6,Kinetic,https://www.crunchbase.com/organization/kinetic-2,Seed,,9/1/2015,1,
XCo's Seed Round,https://www.crunchbase.com/funding-round/8230bf391445db1d985a20bd75f462d6,XCo,https://www.crunchbase.com/organization/xco,Seed,"$675,000 ",1/1/2015,,
XCo's Seed Round,https://www.crunchbase.com/funding-round/0bc1af0dfb80fe18560ee95e7454c4a2,XCo,https://www.crunchbase.com/organization/xco,Seed,,7/2/2016,,
